Country_Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1M_pop,Deaths_1M_pop,TotalTests,Tests_1M_pop,WHO_Region,Cases_Per_Million_Calculated,Deaths_Per_Million_Calculated,Test_Positivity_Rate,Serious_Cases_Pct,Recovery_Rate_Pct
Bangladesh,Asia,164851401.0,249651,,3306.0,,143824.0,,102521.0,,1514.0,20.0,1225124.0,7432.0,South-EastAsia,1514.4,20.05,20.38,,57.61
Italy,Europe,60452568.0,249204,,35187.0,,201323.0,,12694.0,42.0,4122.0,582.0,7099713.0,117443.0,Europe,4122.31,582.06,3.51,0.33,80.79
Turkey,Asia,84428331.0,237265,,5798.0,,220546.0,,10921.0,580.0,2810.0,69.0,5081802.0,60191.0,Europe,2810.25,68.67,4.67,5.31,92.95
Argentina,South America,45236884.0,228195,,4251.0,,99852.0,,124092.0,1150.0,5044.0,94.0,794544.0,17564.0,Americas,5044.45,93.97,28.72,0.93,43.76
Germany,Europe,83811260.0,215210,,9252.0,,196200.0,,9758.0,236.0,2568.0,110.0,8586648.0,102452.0,Europe,2567.79,110.39,2.51,2.42,91.17
France,Europe,65288306.0,195633,,30312.0,,82460.0,,82861.0,384.0,2996.0,464.0,3992206.0,61147.0,Europe,2996.45,464.28,4.9,0.46,42.15
Iraq,Asia,40306025.0,140603,,5161.0,,101025.0,,34417.0,517.0,3488.0,128.0,1092741.0,27111.0,EasternMediterranean,3488.39,128.05,12.87,1.5,71.85
Philippines,Asia,109722719.0,119460,,2150.0,,66837.0,,50473.0,239.0,1089.0,20.0,1669996.0,15220.0,WesternPacific,1088.74,19.59,7.15,0.47,55.95
Indonesia,Asia,273808365.0,118753,,5521.0,,75645.0,,37587.0,,434.0,20.0,1633156.0,5965.0,South-EastAsia,433.71,20.16,7.27,,63.7
Canada,North America,37775022.0,118561,,8966.0,,103106.0,,6489.0,2263.0,3139.0,237.0,4319172.0,114339.0,Americas,3138.61,237.35,2.74,34.87,86.96
Qatar,Asia,2807805.0,112092,,178.0,,108831.0,,3083.0,77.0,39922.0,63.0,511000.0,181993.0,EasternMediterranean,39921.58,63.39,21.94,2.5,97.09
Kazakhstan,Asia,18798667.0,95942,,1058.0,,68871.0,,26013.0,221.0,5104.0,56.0,2163713.0,115099.0,Europe,5103.66,56.28,4.43,0.85,71.78
Egypt,Africa,102516525.0,95006,,4951.0,,48898.0,,41157.0,41.0,927.0,48.0,135000.0,1317.0,EasternMediterranean,926.74,48.29,70.37,0.1,51.47
Ecuador,South America,17668824.0,90537,,5877.0,,71318.0,,13342.0,378.0,5124.0,333.0,258582.0,14635.0,Americas,5124.11,332.62,35.01,2.83,78.77
Bolivia,South America,11688459.0,86423,1282.0,3465.0,80.0,27373.0,936.0,55585.0,71.0,7394.0,296.0,183583.0,15706.0,Americas,7393.87,296.45,47.08,0.13,31.67
Sweden,Europe,10105596.0,81967,,5766.0,,,,,38.0,8111.0,571.0,863315.0,85429.0,Europe,8111.05,570.57,9.49,,
Oman,Asia,5118446.0,80713,,492.0,,70910.0,,9311.0,177.0,15769.0,96.0,309212.0,60411.0,EasternMediterranean,15769.04,96.12,26.1,1.9,87.85
Israel,Asia,9197590.0,79559,,576.0,,53427.0,,25556.0,358.0,8650.0,63.0,1872453.0,203581.0,Europe,8649.98,62.63,4.25,1.4,67.15
Ukraine,Europe,43705858.0,76808,,1819.0,,42524.0,,32465.0,158.0,1757.0,42.0,1116641.0,25549.0,Europe,1757.38,41.62,6.88,0.49,55.36
Dominican Republic,North America,10858648.0,76536,,1246.0,,40539.0,,34751.0,317.0,7048.0,115.0,281926.0,25963.0,Americas,7048.39,114.75,27.15,0.91,52.97
Panama,North America,4321282.0,71418,,1574.0,,45658.0,,24186.0,161.0,16527.0,364.0,240995.0,55769.0,Americas,16527.04,364.24,29.63,0.67,63.93
Belgium,Europe,11594739.0,71158,,9859.0,,17661.0,,43638.0,61.0,6137.0,850.0,1767120.0,152407.0,Europe,6137.09,850.3,4.03,0.14,24.82
Kuwait,Asia,4276658.0,70045,,469.0,,61610.0,,7966.0,127.0,16378.0,110.0,522200.0,122105.0,EasternMediterranean,16378.44,109.67,13.41,1.59,87.96
