Country_Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1M_pop,Deaths_1M_pop,TotalTests,Tests_1M_pop,WHO_Region,Cases_Per_Million_Calculated,Deaths_Per_Million_Calculated,Test_Positivity_Rate,Serious_Cases_Pct,Recovery_Rate_Pct
Channel Islands,Europe,174022.0,597,,47.0,,533.0,,17.0,,3431.0,270.0,30721.0,176535.0,,3430.6,270.08,1.94,,89.28
Guyana,South America,786936.0,538,,22.0,,189.0,,327.0,2.0,684.0,28.0,5165.0,6563.0,Americas,683.66,27.96,10.42,0.61,35.13
Tanzania,Africa,59886383.0,509,,21.0,,183.0,,305.0,7.0,8.0,0.4,,,Africa,8.5,0.35,,2.3,35.95
Taiwan,Asia,23821199.0,477,,7.0,,443.0,,27.0,,20.0,0.3,82737.0,3473.0,WesternPacific,20.02,0.29,0.58,,92.87
Comoros,Africa,871326.0,396,,7.0,,340.0,,49.0,,454.0,8.0,,,Africa,454.48,8.03,,,85.86
Burundi,Africa,11922216.0,395,,1.0,,304.0,,90.0,,33.0,0.08,15614.0,1310.0,Africa,33.13,0.08,2.53,,76.96
Myanmar,Asia,54446389.0,357,,6.0,,308.0,,43.0,,7.0,0.1,122290.0,2246.0,South-EastAsia,6.56,0.11,0.29,,86.27
Mauritius,Africa,1271985.0,344,,10.0,,334.0,,0.0,,270.0,8.0,205285.0,161389.0,Africa,270.44,7.86,0.17,,97.09
Isle of Man,Europe,85078.0,336,,24.0,,312.0,,0.0,,3949.0,282.0,8627.0,101401.0,,3949.32,282.09,3.89,,92.86
Mongolia,Asia,3283344.0,293,,,,260.0,,33.0,1.0,89.0,,38334.0,11675.0,WesternPacific,89.24,,0.76,3.03,88.74
Eritrea,Africa,3551175.0,282,,,,225.0,,57.0,,79.0,,,,Africa,79.41,,,,79.79
Guadeloupe,North America,400131.0,279,,14.0,,179.0,,86.0,,697.0,35.0,18476.0,46175.0,,697.27,34.99,1.51,,64.16
Martinique,North America,375235.0,276,,15.0,,98.0,,163.0,1.0,736.0,40.0,12227.0,32585.0,,735.54,39.97,2.26,0.61,35.51
Faeroe Islands,Europe,48882.0,266,,,,192.0,,74.0,1.0,5442.0,,43045.0,880590.0,,5441.68,,0.62,1.35,72.18
Aruba,North America,106812.0,263,,3.0,,114.0,,146.0,,2462.0,28.0,14047.0,131511.0,,2462.27,28.09,1.87,,43.35
Cambodia,Asia,16741375.0,243,,,,210.0,,33.0,1.0,15.0,,67807.0,4050.0,WesternPacific,14.51,,0.36,3.03,86.42
Trinidad and Tobago,North America,1399950.0,210,,8.0,,135.0,,67.0,,150.0,6.0,9559.0,6828.0,Americas,150.01,5.71,2.2,,64.29
Cayman Islands,North America,65798.0,203,,1.0,,202.0,,0.0,,3085.0,15.0,31108.0,472780.0,,3085.2,15.2,0.65,,99.51
Gibraltar,Europe,33690.0,190,,,,184.0,,6.0,,5640.0,,23063.0,684565.0,,5639.66,,0.82,,96.84
Papua New Guinea,Australia/Oceania,8963009.0,163,,3.0,,53.0,,107.0,,18.0,0.3,10808.0,1206.0,WesternPacific,18.19,0.33,1.51,,32.52
Sint Maarten,North America,42924.0,160,,16.0,,64.0,,80.0,3.0,3728.0,373.0,1115.0,25976.0,,3727.52,372.75,14.35,3.75,40.0
Bermuda,North America,62254.0,157,,9.0,,144.0,,4.0,,2522.0,145.0,26352.0,423298.0,Americas,2521.93,144.57,0.6,,91.72
Brunei ,Asia,437893.0,141,,3.0,,138.0,,0.0,,322.0,7.0,41148.0,93968.0,,322.0,6.85,0.34,,97.87
Barbados,North America,287411.0,133,,7.0,,100.0,,26.0,,463.0,24.0,12233.0,42563.0,Americas,462.75,24.36,1.09,,75.19
Turks and Caicos,North America,38768.0,129,,2.0,,39.0,,88.0,3.0,3327.0,52.0,1252.0,32295.0,,3327.49,51.59,10.3,3.41,30.23
Seychelles,Africa,98408.0,126,,,,124.0,,2.0,,1280.0,,,,Africa,1280.38,,,,98.41
Monaco,Europe,39270.0,125,,4.0,,105.0,,16.0,2.0,3183.0,102.0,38209.0,972982.0,Europe,3183.09,101.86,0.33,12.5,84.0
Bhutan,Asia,772443.0,105,,,,93.0,,12.0,,136.0,,54589.0,70671.0,South-EastAsia,135.93,,0.19,,88.57
Antigua and Barbuda,North America,98010.0,92,,3.0,,76.0,,13.0,1.0,939.0,31.0,1500.0,15305.0,Americas,938.68,30.61,6.13,7.69,82.61
Liechtenstein,Europe,38139.0,89,,1.0,,85.0,,3.0,,2334.0,26.0,900.0,23598.0,Europe,2333.57,26.22,9.89,,95.51
Belize,North America,398312.0,86,,2.0,,31.0,,53.0,2.0,216.0,5.0,3679.0,9236.0,Americas,215.91,5.02,2.34,3.77,36.05
French Polynesia,Australia/Oceania,281072.0,64,,,,62.0,,2.0,,228.0,,5849.0,20810.0,,227.7,,1.09,,96.88
St. Vincent Grenadines,North America,110976.0,56,,,,46.0,,10.0,,505.0,,2447.0,22050.0,,504.61,,2.29,,82.14
Saint Martin,North America,38729.0,53,,3.0,,41.0,,9.0,1.0,1368.0,77.0,1183.0,30546.0,,1368.48,77.46,4.48,11.11,77.36
Macao,Asia,650193.0,46,,,,46.0,,0.0,,71.0,,4071.0,6261.0,,70.75,,1.13,,100.0
Curaçao,North America,164161.0,31,,1.0,,28.0,,2.0,,189.0,6.0,1080.0,6579.0,,188.84,6.09,2.87,,90.32
Fiji,Australia/Oceania,897095.0,27,,1.0,,18.0,,8.0,,30.0,1.0,6693.0,7461.0,WesternPacific,30.1,1.11,0.4,,66.67
Saint Lucia,North America,183712.0,25,,,,24.0,,1.0,,136.0,,3895.0,21202.0,Americas,136.08,,0.64,,96.0
Timor-Leste,Asia,1320812.0,25,,,,24.0,,1.0,,19.0,,4238.0,3209.0,South-EastAsia,18.93,,0.59,,96.0
Grenada,North America,112576.0,24,,,,23.0,,1.0,,213.0,,6252.0,55536.0,Americas,213.19,,0.38,,95.83
New Caledonia,Australia/Oceania,285769.0,22,,,,22.0,,0.0,,77.0,,11099.0,38839.0,,76.99,,0.2,,100.0
Laos,Asia,7285750.0,20,,,,19.0,,1.0,,3.0,,29374.0,4032.0,WesternPacific,2.75,,0.07,,95.0
Dominica,North America,72004.0,18,,,,18.0,,0.0,,250.0,,1005.0,13958.0,Americas,249.99,,1.79,,100.0
Saint Kitts and Nevis,North America,53237.0,17,,,,16.0,,1.0,,319.0,,1146.0,21526.0,Americas,319.33,,1.48,,94.12
Greenland,North America,56780.0,14,,,,14.0,,0.0,,247.0,,5977.0,105266.0,Europe,246.57,,0.23,,100.0
Montserrat,North America,4992.0,13,,1.0,,10.0,,2.0,,2604.0,200.0,61.0,12220.0,,2604.17,200.32,21.31,,76.92
Caribbean Netherlands,North America,26247.0,13,,,,7.0,,6.0,,495.0,,424.0,16154.0,,495.29,,3.07,,53.85
Falkland Islands,South America,3489.0,13,,,,13.0,,0.0,,3726.0,,1816.0,520493.0,,3726.0,,0.72,,100.0
Vatican City,Europe,801.0,12,,,,12.0,,0.0,,14981.0,,,,Europe,14981.27,,,,100.0
Western Sahara,Africa,598682.0,10,,1.0,,8.0,,1.0,,17.0,2.0,,,Africa,16.7,1.67,,,80.0
