Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,Daily_Growth_Rate,New_Cases_Pct,New_Cases_7MA,New_Deaths_7MA,New_Cases_14MA
2020-05-21,5110064,334112,1900768,2875184,106438,4786,50327,6.54,37.2,17.58,187,2.1250946793691883,2.08,94950.42857142857,4351.571428571428,90120.78571428571
2020-05-22,5216964,339396,2008541,2869027,106900,5284,107773,6.51,38.5,16.9,187,2.091950316082136,2.05,96457.71428571429,4361.428571428572,91113.85714285714
2020-05-23,5322253,343385,2062802,2916066,105289,3989,54261,6.45,38.76,16.65,187,2.0182044576117386,1.98,97868.71428571429,4335.428571428572,92502.64285714286
2020-05-24,5417579,346525,2117555,2953499,95326,3140,54753,6.4,39.09,16.36,187,1.7910835880969866,1.76,100271.14285714286,4308.428571428572,93864.85714285714
2020-05-25,5504542,347703,2180605,2976234,87335,1178,63050,6.32,39.61,15.95,187,1.6052004040919332,1.59,100135.57142857143,4006.5714285714284,94653.21428571429
2020-05-26,5597064,351906,2235118,3010040,92742,4203,54513,6.29,39.93,15.74,187,1.6808301217430932,1.66,99579.71428571429,3923.5714285714284,95304.85714285714
2020-05-27,5699664,357119,2297613,3044932,102600,5213,62495,6.27,40.31,15.54,187,1.8331039273447702,1.8,99518.57142857143,3970.4285714285716,96567.92857142857
2020-05-28,5818978,361820,2363746,3093412,119314,4701,66133,6.22,40.62,15.31,187,2.093351467735638,2.05,101358.0,3958.285714285714,98154.21428571429
2020-05-29,5940145,366562,2440127,3133456,121167,4742,76381,6.17,41.08,15.02,187,2.0822728664724233,2.04,103396.14285714286,3880.8571428571427,99926.92857142857
2020-05-30,6077978,370718,2509981,3197279,137833,4156,69854,6.1,41.3,14.77,187,2.320364233533012,2.27,108045.28571428571,3904.714285714286,102957.0
2020-05-31,6185530,373606,2585589,3226335,107552,2888,75608,6.04,41.8,14.45,187,1.7695358555098517,1.74,109791.85714285714,3868.714285714286,105031.5
2020-06-01,6280725,376674,2639599,3264452,95195,3068,54010,6.0,42.03,14.27,187,1.538995041653668,1.52,110914.71428571429,4138.714285714285,105525.14285714286
2020-06-02,6401536,381497,2743083,3276956,121577,4823,103484,5.96,42.85,13.91,187,1.9235199757989818,1.9,115034.0,4227.285714285715,107306.85714285714
2020-06-03,6520924,387069,2821430,3312425,119389,5572,78347,5.94,43.27,13.72,187,1.8649899024234085,1.83,117432.42857142857,4278.571428571428,108475.5
2020-06-04,6647861,392218,2890776,3364867,126937,5149,69346,5.9,43.48,13.57,187,1.946610633707735,1.91,118521.42857142857,4342.571428571428,109939.71428571429
2020-06-05,6778724,396994,2959037,3422693,130863,4776,68261,5.86,43.65,13.42,187,1.9684978371238504,1.93,119906.57142857143,4347.428571428572,111651.35714285714
2020-06-06,6914666,400875,3030214,3483577,135942,3881,71177,5.8,43.82,13.23,187,2.0054216693289106,1.97,119636.42857142857,4308.142857142857,113840.85714285714
2020-06-07,7026925,403617,3084718,3538590,112259,2742,54504,5.74,43.9,13.08,187,1.6234912864916407,1.6,120308.85714285714,4287.285714285715,115050.35714285714
2020-06-08,7129150,407314,3235640,3486196,102225,3697,150922,5.71,45.39,12.59,187,1.4547615066334174,1.43,121313.14285714286,4377.142857142857,116113.92857142857
2020-06-09,7253492,412236,3317121,3524135,124342,4922,81481,5.68,45.73,12.43,187,1.7441349950555018,1.71,121708.14285714286,4391.285714285715,118371.07142857143
2020-06-10,7387517,417441,3395154,3574922,134025,5205,78033,5.65,45.96,12.3,187,1.8477307205963633,1.81,123799.0,4338.857142857143,120615.71428571429
2020-06-11,7525631,422215,3480121,3623295,138114,4774,84967,5.61,46.24,12.13,187,1.8695591495762276,1.84,125395.71428571429,4285.285714285715,121958.57142857143
2020-06-12,7654725,426512,3558933,3669280,129094,4297,78812,5.57,46.49,11.98,187,1.715391041628278,1.69,125143.0,4216.857142857143,122524.78571428571
2020-06-13,7790735,430750,3644048,3715937,136010,4238,85115,5.53,46.77,11.82,187,1.7768110546100502,1.75,125152.71428571429,4267.857142857143,122394.57142857143
2020-06-14,7924156,434124,3714006,3776026,133421,3374,69958,5.48,46.87,11.69,187,1.7125598547505394,1.68,128175.85714285714,4358.142857142857,124242.35714285714
2020-06-15,8043794,437549,3793406,3812839,119638,3425,79400,5.44,47.16,11.53,187,1.5097885503515984,1.49,130663.42857142857,4319.285714285715,125988.28571428571
2020-06-16,8185197,444416,3890800,3849981,141403,6867,97394,5.43,47.53,11.42,187,1.7579142379827273,1.73,133100.7142857143,4597.142857142857,127404.42857142857
2020-06-17,8327050,449671,4008201,3869178,141853,5255,117401,5.4,48.13,11.22,187,1.733043199815465,1.7,134219.0,4604.285714285715,129009.0
2020-06-18,8466978,454700,4088826,3923452,139928,5029,80625,5.37,48.29,11.12,187,1.680403023879995,1.65,134478.14285714287,4640.714285714285,129936.92857142857
2020-06-19,8647784,460973,4183298,4003513,180954,6273,94472,5.33,48.37,11.02,187,2.1354254138843842,2.09,141886.7142857143,4923.0,133514.85714285713
2020-06-20,8805336,465222,4298603,4041511,157552,4249,115305,5.28,48.82,10.82,187,1.821877142167283,1.79,144964.14285714287,4924.571428571428,135058.42857142858
2020-06-21,8933875,469185,4366875,4097815,128539,3963,68272,5.25,48.88,10.74,187,1.4597852938263767,1.44,144266.7142857143,5008.714285714285,136221.2857142857
2020-06-22,9071733,472756,4458093,4140884,137858,3571,91218,5.21,49.14,10.6,187,1.5430930027563683,1.52,146869.57142857142,5029.571428571428,138766.5
2020-06-23,9237071,478067,4561696,4197308,165338,5311,103603,5.18,49.38,10.48,187,1.8225624585732403,1.79,150288.85714285713,4807.285714285715,141694.7857142857
2020-06-24,9408254,483328,4677005,4247921,171183,5261,115309,5.14,49.71,10.33,187,1.8532173239764083,1.82,154478.85714285713,4808.142857142857,144348.92857142858
2020-06-25,9586141,489955,4769458,4326728,177887,6627,92453,5.11,49.75,10.27,187,1.8907546501189199,1.86,159901.57142857142,5036.428571428572,147189.85714285713
2020-06-26,9777487,494782,4875774,4406931,191346,4827,106316,5.06,49.87,10.15,187,1.996069116863608,1.96,161386.14285714287,4829.857142857143,151636.42857142858
2020-06-27,9955597,499268,4981808,4474521,178110,4486,106034,5.01,50.04,10.02,187,1.821633718357285,1.79,164323.0,4863.714285714285,154643.57142857142
2020-06-28,10117227,502357,5070592,4544278,162349,3089,88784,4.97,50.12,9.91,187,1.623508866419554,1.6,169153.0,4738.857142857143,156709.85714285713
2020-06-29,10275799,506078,5164494,4605227,158572,3721,93902,4.92,50.26,9.8,187,1.5673464675646898,1.54,172112.14285714287,4760.285714285715,159490.85714285713
2020-06-30,10449697,511210,5281459,4657028,173898,5132,116965,4.89,50.54,9.68,187,1.692306359826623,1.66,173335.0,4734.714285714285,161811.92857142858
2020-07-01,10667386,516221,5397083,4754082,217689,5011,115624,4.84,50.59,9.56,187,2.0832087284444745,2.04,179978.7142857143,4699.0,167228.7857142857
2020-07-02,10875091,521341,5681477,4672273,207705,5120,284394,4.79,52.24,9.18,187,1.9471030672369105,1.91,184238.42857142858,4483.714285714285,172070.0
2020-07-03,11078585,526336,5790942,4761307,203495,4995,109465,4.75,52.27,9.09,187,1.871193537598903,1.84,185974.0,4507.714285714285,173680.07142857142
2020-07-04,11272152,530705,5986375,4755072,193567,4369,195433,4.71,53.11,8.87,187,1.7472177177861647,1.72,188182.14285714287,4491.0,176252.57142857142
2020-07-05,11454847,534150,6105546,4815151,182695,3445,119171,4.66,53.3,8.75,187,1.620764162867916,1.59,191088.7142857143,4541.857142857143,180120.85714285713
2020-07-06,11622190,537947,6228768,4855475,167343,3797,123222,4.63,53.59,8.64,187,1.4608924938063428,1.44,192341.7142857143,4552.714285714285,182226.92857142858
2020-07-07,11833034,544054,6373513,4915467,210844,6107,144745,4.6,53.86,8.54,187,1.8141503451587049,1.78,197619.7142857143,4692.0,185477.35714285713
2020-07-08,12044836,549373,6531016,4964447,211802,5319,157503,4.56,54.22,8.41,187,1.7899213337847275,1.76,196778.7142857143,4736.0,188378.7142857143
2020-07-09,12273063,554831,6665237,5052995,228227,5458,134221,4.52,54.31,8.32,187,1.8948120173657879,1.86,199710.42857142858,4784.285714285715,191974.42857142858
2020-07-10,12505640,560142,6804254,5141244,232577,5311,139017,4.48,54.41,8.23,187,1.895020012526616,1.86,203865.0,4829.428571428572,194919.5
2020-07-11,12721968,565039,6929711,5227218,216328,4897,125457,4.44,54.47,8.15,187,1.7298434946152241,1.7,207116.57142857142,4904.857142857143,197649.35714285713
